"id","created_at","name","has_test","alternate_url"
"68314964","2022-08-01T05:24:55+0300","Data Scientist",false,"https://hh.ru/vacancy/68314964"
"68270111","2022-08-01T07:44:02+0300","Middle Data Scientist",false,"https://hh.ru/vacancy/68270111"
"67781834","2022-08-01T15:54:02+0300","Data Scientist ( remote job )",false,"https://hh.ru/vacancy/67781834"
"68386431","2022-08-02T11:40:40+0300","Data Scientist",false,"https://hh.ru/vacancy/68386431"
"68393711","2022-08-02T13:27:54+0300","Junior/Middle Data Scientist",false,"https://hh.ru/vacancy/68393711"
"66737331","2022-08-02T14:24:04+0300","Data scientist",false,"https://hh.ru/vacancy/66737331"
"68400524","2022-08-02T15:10:41+0300","Data Scientist",false,"https://hh.ru/vacancy/68400524"
"68404264","2022-08-02T16:10:08+0300","Data Scientist c опытом NLP (Middle / Senior)",false,"https://hh.ru/vacancy/68404264"
"68408162","2022-08-02T17:32:24+0300","Data Scientist",false,"https://hh.ru/vacancy/68408162"
"67716548","2022-08-02T19:20:28+0300","Lead Data Scientist (Yepp)",false,"https://hh.ru/vacancy/67716548"
"68063879","2022-08-03T12:53:41+0300","Data Scientist",false,"https://hh.ru/vacancy/68063879"
"66681320","2022-08-03T14:54:09+0300","Аналитик данных / Data scientist",false,"https://hh.ru/vacancy/66681320"
"68119068","2022-08-03T14:54:09+0300","Data Scientist",false,"https://hh.ru/vacancy/68119068"
"68252509","2022-08-03T14:59:23+0300","Senior Data Scientist",false,"https://hh.ru/vacancy/68252509"
"68121292","2022-08-03T15:35:48+0300","Data Scientist",false,"https://hh.ru/vacancy/68121292"
"67746831","2022-08-03T15:40:40+0300","Разработчик нейросетевых алгоритмов / Data Scientist",false,"https://hh.ru/vacancy/67746831"
"68445445","2022-08-03T15:47:57+0300","Аналитик данных (Data Scientist)",false,"https://hh.ru/vacancy/68445445"
"68127599","2022-08-03T17:43:50+0300","Аналитик данных / Data Scientist",true,"https://hh.ru/vacancy/68127599"
"68450872","2022-08-03T17:59:30+0300","Senior Data Scientist (RecSys)",false,"https://hh.ru/vacancy/68450872"
"68077822","2022-08-03T18:13:24+0300","Data Scientist",false,"https://hh.ru/vacancy/68077822"
